 Part ID ;Producer Name;producer code
1;partname1;prod1
2;partname2;prod2
3;partname3;prod3
4;partname4;prod4
5;partname5;prod5
6;partname6;prod6
7;partname7;prod7
8;partname8;prod8
9;partname9;prod9
10;partname10;prod10
11;partname11;prod11
12;partname12;prod12
13;partname13;prod13
14;partname14;prod14
15;partname15;prod15
16;partname16;prod16
17;partname17;prod17
18;partname18;prod18
19;partname19;prod19
20;partname20;prod20
21;partname21;prod21
22;partname22;prod22
23;partname23;prod23
24;partname24;prod24
25;partname25;prod25
26;partname26;prod26
27;partname27;prod27
28;partname28;prod28
29;partname29;prod29
30;partname30;prod30
31;partname31;prod31
32;partname32;prod32
33;partname33;prod33
34;partname34;prod34
35;partname35;prod35
36;partname36;prod36
37;partname37;prod37
38;partname38;prod38
39;partname39;prod39
40;partname40;prod40
41;partname41;prod41
42;partname42;prod42
43;partname43;prod43
44;partname44;prod44
45;partname45;prod45
46;partname46;prod46
47;partname47;prod47
48;partname48;prod48
49;partname49;prod49
50;partname50;prod50
51;partname51;prod51
52;partname52;prod52
53;partname53;prod53
54;partname54;prod54
55;partname55;prod55
56;partname56;prod56
57;partname57;prod57
58;partname58;prod58
59;partname59;prod59
60;partname60;prod60
61;partname61;prod61
62;partname62;prod62
63;partname63;prod63
64;partname64;prod64
65;partname65;prod65
66;partname66;prod66
67;partname67;prod67
68;partname68;prod68
69;partname69;prod69
70;partname70;prod70
71;partname71;prod71
72;partname72;prod72
73;partname73;prod73
74;partname74;prod74
75;partname75;prod75
76;partname76;prod76
77;partname77;prod77
78;partname78;prod78
79;partname79;prod79
80;partname80;prod80
81;partname81;prod81
82;partname82;prod82
83;partname83;prod83
84;partname84;prod84
85;partname85;prod85
86;partname86;prod86
87;partname87;prod87
88;partname88;prod88
89;partname89;prod89
90;partname90;prod90
91;partname91;prod91
92;partname92;prod92
93;partname93;prod93
94;partname94;prod94
95;partname95;prod95
96;partname96;prod96
97;partname97;prod97
98;partname98;prod98
99;partname99;prod99
100;partname100;prod100
101;partname101;prod101
102;partname102;prod102
103;partname103;prod103
104;partname104;prod104
105;partname105;prod105
106;partname106;prod106
107;partname107;prod107
108;partname108;prod108
109;partname109;prod109
110;partname110;prod110
111;partname111;prod111
112;partname112;prod112
113;partname113;prod113
114;partname114;prod114
115;partname115;prod115
116;partname116;prod116
117;partname117;prod117
118;partname118;prod118
119;partname119;prod119
120;partname120;prod120
121;partname121;prod121
122;partname122;prod122
123;partname123;prod123
124;partname124;prod124
125;partname125;prod125
126;partname126;prod126
127;partname127;prod127
128;partname128;prod128
129;partname129;prod129
130;partname130;prod130
131;partname131;prod131
132;partname132;prod132
133;partname133;prod133
134;partname134;prod134
135;partname135;prod135
136;partname136;prod136
137;partname137;prod137
138;partname138;prod138
139;partname139;prod139
140;partname140;prod140
141;partname141;prod141
142;partname142;prod142
143;partname143;prod143
144;partname144;prod144
145;partname145;prod145
146;partname146;prod146
147;partname147;prod147
148;partname148;prod148
149;partname149;prod149
150;partname150;prod150
151;partname151;prod151
152;partname152;prod152
153;partname153;prod153
154;partname154;prod154
155;partname155;prod155
156;partname156;prod156
157;partname157;prod157
158;partname158;prod158
159;partname159;prod159
160;partname160;prod160
161;partname161;prod161
162;partname162;prod162
163;partname163;prod163
164;partname164;prod164
165;partname165;prod165
166;partname166;prod166
167;partname167;prod167
168;partname168;prod168
169;partname169;prod169
170;partname170;prod170
171;partname171;prod171
172;partname172;prod172
173;partname173;prod173
174;partname174;prod174
175;partname175;prod175
176;partname176;prod176
177;partname177;prod177
178;partname178;prod178
179;partname179;prod179
180;partname180;prod180
181;partname181;prod181
182;partname182;prod182
183;partname183;prod183
184;partname184;prod184
185;partname185;prod185
186;partname186;prod186
187;partname187;prod187
188;partname188;prod188
189;partname189;prod189
190;partname190;prod190
191;partname191;prod191
192;partname192;prod192
193;partname193;prod193
194;partname194;prod194
195;partname195;prod195
196;partname196;prod196
197;partname197;prod197
198;partname198;prod198
199;partname199;prod199
200;partname200;prod200
201;partname201;prod201
202;partname202;prod202
203;partname203;prod203
204;partname204;prod204
205;partname205;prod205
206;partname206;prod206
207;partname207;prod207
208;partname208;prod208
209;partname209;prod209
210;partname210;prod210
211;partname211;prod211
212;partname212;prod212
213;partname213;prod213
214;partname214;prod214
215;partname215;prod215
216;partname216;prod216
217;partname217;prod217
218;partname218;prod218
219;partname219;prod219
220;partname220;prod220
221;partname221;prod221
222;partname222;prod222
223;partname223;prod223
224;partname224;prod224
225;partname225;prod225
226;partname226;prod226
227;partname227;prod227
228;partname228;prod228
229;partname229;prod229
230;partname230;prod230
231;partname231;prod231
232;partname232;prod232
233;partname233;prod233
234;partname234;prod234
235;partname235;prod235
236;partname236;prod236
237;partname237;prod237
238;partname238;prod238
239;partname239;prod239
240;partname240;prod240
241;partname241;prod241
242;partname242;prod242
243;partname243;prod243
244;partname244;prod244
245;partname245;prod245
246;partname246;prod246
247;partname247;prod247
248;partname248;prod248
249;partname249;prod249
250;partname250;prod250
251;partname251;prod251
252;partname252;prod252
253;partname253;prod253
254;partname254;prod254
255;partname255;prod255
256;partname256;prod256
257;partname257;prod257
258;partname258;prod258
259;partname259;prod259
260;partname260;prod260
261;partname261;prod261
262;partname262;prod262
263;partname263;prod263
264;partname264;prod264
265;partname265;prod265
266;partname266;prod266
267;partname267;prod267
268;partname268;prod268
269;partname269;prod269
270;partname270;prod270
271;partname271;prod271
272;partname272;prod272
273;partname273;prod273
274;partname274;prod274
275;partname275;prod275
276;partname276;prod276
277;partname277;prod277
278;partname278;prod278
279;partname279;prod279
280;partname280;prod280
281;partname281;prod281
282;partname282;prod282
283;partname283;prod283
284;partname284;prod284
285;partname285;prod285
286;partname286;prod286
287;partname287;prod287
288;partname288;prod288
289;partname289;prod289
290;partname290;prod290
291;partname291;prod291
292;partname292;prod292
293;partname293;prod293
294;partname294;prod294
295;partname295;prod295
296;partname296;prod296
297;partname297;prod297
298;partname298;prod298
299;partname299;prod299
300;partname300;prod300
301;partname301;prod301
302;partname302;prod302
303;partname303;prod303
304;partname304;prod304
305;partname305;prod305
306;partname306;prod306
307;partname307;prod307
308;partname308;prod308
309;partname309;prod309
310;partname310;prod310
311;partname311;prod311
312;partname312;prod312
313;partname313;prod313
314;partname314;prod314
315;partname315;prod315
316;partname316;prod316
317;partname317;prod317
318;partname318;prod318
319;partname319;prod319
320;partname320;prod320
321;partname321;prod321
322;partname322;prod322
323;partname323;prod323
324;partname324;prod324
325;partname325;prod325
326;partname326;prod326
327;partname327;prod327
328;partname328;prod328
329;partname329;prod329
330;partname330;prod330
331;partname331;prod331
332;partname332;prod332
333;partname333;prod333
334;partname334;prod334
335;partname335;prod335
336;partname336;prod336
337;partname337;prod337
338;partname338;prod338
339;partname339;prod339
340;partname340;prod340
341;partname341;prod341
342;partname342;prod342
343;partname343;prod343
344;partname344;prod344
345;partname345;prod345
346;partname346;prod346
347;partname347;prod347
348;partname348;prod348
349;partname349;prod349
350;partname350;prod350
351;partname351;prod351
352;partname352;prod352
353;partname353;prod353
354;partname354;prod354
355;partname355;prod355
356;partname356;prod356
357;partname357;prod357
358;partname358;prod358
359;partname359;prod359
360;partname360;prod360
361;partname361;prod361
362;partname362;prod362
363;partname363;prod363
364;partname364;prod364
365;partname365;prod365
366;partname366;prod366
367;partname367;prod367
368;partname368;prod368
369;partname369;prod369
370;partname370;prod370
371;partname371;prod371
372;partname372;prod372
373;partname373;prod373
374;partname374;prod374
375;partname375;prod375
376;partname376;prod376
377;partname377;prod377
378;partname378;prod378
379;partname379;prod379
380;partname380;prod380
381;partname381;prod381
382;partname382;prod382
383;partname383;prod383
384;partname384;prod384
385;partname385;prod385
386;partname386;prod386
387;partname387;prod387
388;partname388;prod388
389;partname389;prod389
390;partname390;prod390
391;partname391;prod391
392;partname392;prod392
393;partname393;prod393
394;partname394;prod394
395;partname395;prod395
396;partname396;prod396
397;partname397;prod397
398;partname398;prod398
399;partname399;prod399
400;partname400;prod400
401;partname401;prod401
402;partname402;prod402
403;partname403;prod403
404;partname404;prod404
405;partname405;prod405
406;partname406;prod406
407;partname407;prod407
408;partname408;prod408
409;partname409;prod409
410;partname410;prod410
411;partname411;prod411
412;partname412;prod412
413;partname413;prod413
414;partname414;prod414
415;partname415;prod415
416;partname416;prod416
417;partname417;prod417
418;partname418;prod418
419;partname419;prod419
420;partname420;prod420
421;partname421;prod421
422;partname422;prod422
423;partname423;prod423
424;partname424;prod424
425;partname425;prod425
426;partname426;prod426
427;partname427;prod427
428;partname428;prod428
429;partname429;prod429
430;partname430;prod430
431;partname431;prod431
432;partname432;prod432
433;partname433;prod433
434;partname434;prod434
435;partname435;prod435
436;partname436;prod436
437;partname437;prod437
438;partname438;prod438
439;partname439;prod439
440;partname440;prod440
441;partname441;prod441
442;partname442;prod442
443;partname443;prod443
444;partname444;prod444
445;partname445;prod445
446;partname446;prod446
447;partname447;prod447
448;partname448;prod448
449;partname449;prod449
450;partname450;prod450
451;partname451;prod451
452;partname452;prod452
453;partname453;prod453
454;partname454;prod454
455;partname455;prod455
456;partname456;prod456
457;partname457;prod457
458;partname458;prod458
459;partname459;prod459
460;partname460;prod460
461;partname461;prod461
462;partname462;prod462
463;partname463;prod463
464;partname464;prod464
465;partname465;prod465
466;partname466;prod466
467;partname467;prod467
468;partname468;prod468
469;partname469;prod469
470;partname470;prod470
471;partname471;prod471
472;partname472;prod472
473;partname473;prod473
474;partname474;prod474
475;partname475;prod475
476;partname476;prod476
477;partname477;prod477
478;partname478;prod478
479;partname479;prod479
480;partname480;prod480
481;partname481;prod481
482;partname482;prod482
483;partname483;prod483
484;partname484;prod484
485;partname485;prod485
486;partname486;prod486
487;partname487;prod487
488;partname488;prod488
489;partname489;prod489
490;partname490;prod490
491;partname491;prod491
492;partname492;prod492
493;partname493;prod493
494;partname494;prod494
495;partname495;prod495
496;partname496;prod496
497;partname497;prod497
498;partname498;prod498
499;partname499;prod499
500;partname500;prod500
501;partname501;prod501
502;partname502;prod502
503;partname503;prod503
504;partname504;prod504
505;partname505;prod505
506;partname506;prod506
507;partname507;prod507
508;partname508;prod508
509;partname509;prod509
510;partname510;prod510
511;partname511;prod511
512;partname512;prod512
513;partname513;prod513
514;partname514;prod514
515;partname515;prod515
516;partname516;prod516
517;partname517;prod517
518;partname518;prod518
519;partname519;prod519
520;partname520;prod520
521;partname521;prod521
522;partname522;prod522
523;partname523;prod523
524;partname524;prod524
525;partname525;prod525
526;partname526;prod526
527;partname527;prod527
528;partname528;prod528
529;partname529;prod529
530;partname530;prod530
531;partname531;prod531
532;partname532;prod532
533;partname533;prod533
534;partname534;prod534
535;partname535;prod535
536;partname536;prod536
537;partname537;prod537
538;partname538;prod538
539;partname539;prod539
540;partname540;prod540
541;partname541;prod541
542;partname542;prod542
543;partname543;prod543
544;partname544;prod544
545;partname545;prod545
546;partname546;prod546
547;partname547;prod547
548;partname548;prod548
549;partname549;prod549
550;partname550;prod550
551;partname551;prod551
552;partname552;prod552
553;partname553;prod553
554;partname554;prod554
555;partname555;prod555
556;partname556;prod556
557;partname557;prod557
558;partname558;prod558
559;partname559;prod559
560;partname560;prod560
561;partname561;prod561
562;partname562;prod562
563;partname563;prod563
564;partname564;prod564
565;partname565;prod565
566;partname566;prod566
567;partname567;prod567
568;partname568;prod568
569;partname569;prod569
570;partname570;prod570
571;partname571;prod571
572;partname572;prod572
573;partname573;prod573
574;partname574;prod574
575;partname575;prod575
576;partname576;prod576
577;partname577;prod577
578;partname578;prod578
579;partname579;prod579
580;partname580;prod580
581;partname581;prod581
582;partname582;prod582
583;partname583;prod583
584;partname584;prod584
585;partname585;prod585
586;partname586;prod586
587;partname587;prod587
588;partname588;prod588
589;partname589;prod589
590;partname590;prod590
591;partname591;prod591
592;partname592;prod592
593;partname593;prod593
594;partname594;prod594
595;partname595;prod595
596;partname596;prod596
597;partname597;prod597
598;partname598;prod598
599;partname599;prod599
600;partname600;prod600
601;partname601;prod601
602;partname602;prod602
603;partname603;prod603
604;partname604;prod604
605;partname605;prod605
606;partname606;prod606
607;partname607;prod607
608;partname608;prod608
609;partname609;prod609
610;partname610;prod610
611;partname611;prod611
612;partname612;prod612
613;partname613;prod613
614;partname614;prod614
615;partname615;prod615
616;partname616;prod616
617;partname617;prod617
618;partname618;prod618
619;partname619;prod619
620;partname620;prod620
621;partname621;prod621
622;partname622;prod622
623;partname623;prod623
624;partname624;prod624
625;partname625;prod625
626;partname626;prod626
627;partname627;prod627
628;partname628;prod628
629;partname629;prod629
630;partname630;prod630
631;partname631;prod631
632;partname632;prod632
633;partname633;prod633
634;partname634;prod634
635;partname635;prod635
636;partname636;prod636
637;partname637;prod637
638;partname638;prod638
639;partname639;prod639
640;partname640;prod640
641;partname641;prod641
642;partname642;prod642
643;partname643;prod643
644;partname644;prod644
645;partname645;prod645
646;partname646;prod646
647;partname647;prod647
648;partname648;prod648
649;partname649;prod649
650;partname650;prod650
651;partname651;prod651
652;partname652;prod652
653;partname653;prod653
654;partname654;prod654
655;partname655;prod655
656;partname656;prod656
657;partname657;prod657
658;partname658;prod658
659;partname659;prod659
660;partname660;prod660
661;partname661;prod661
662;partname662;prod662
663;partname663;prod663
664;partname664;prod664
665;partname665;prod665
666;partname666;prod666
667;partname667;prod667
668;partname668;prod668
669;partname669;prod669
670;partname670;prod670
671;partname671;prod671
672;partname672;prod672
673;partname673;prod673
674;partname674;prod674
675;partname675;prod675
676;partname676;prod676
677;partname677;prod677
678;partname678;prod678
679;partname679;prod679
680;partname680;prod680
681;partname681;prod681
682;partname682;prod682
683;partname683;prod683
684;partname684;prod684
685;partname685;prod685
686;partname686;prod686
687;partname687;prod687
688;partname688;prod688
689;partname689;prod689
690;partname690;prod690
691;partname691;prod691
692;partname692;prod692
693;partname693;prod693
694;partname694;prod694
695;partname695;prod695
696;partname696;prod696
697;partname697;prod697
698;partname698;prod698
699;partname699;prod699
700;partname700;prod700
701;partname701;prod701
702;partname702;prod702
703;partname703;prod703
704;partname704;prod704
705;partname705;prod705
706;partname706;prod706
707;partname707;prod707
708;partname708;prod708
709;partname709;prod709
710;partname710;prod710
711;partname711;prod711
712;partname712;prod712
713;partname713;prod713
714;partname714;prod714
715;partname715;prod715
716;partname716;prod716
717;partname717;prod717
718;partname718;prod718
719;partname719;prod719
720;partname720;prod720
721;partname721;prod721
722;partname722;prod722
